X_NAD,Y_NAD,Z_NAD
542313.6406,6445806.742,457.880432
530958.1699,6467819.57,436.902405
530958.1699,6464147.813,474.928528
535492.1025,6449461.238,454.09668
535491.9268,6453132.977,452.030609
526424.731,6431102.016,465.732758
540017.4121,6442111.086,470.724609
542312.9688,6460488.148,493.72171
540015.0898,6460459.684,470.074799
521847.7122,6416273.975,516.227173
521891.2927,6412743.239,496.200287
533224.7744,6431101.619,465.295654
530958.1699,6431102.016,462.720947
515067.8872,6445770.211,518.137573
517358.4929,6445789.551,527.298828
517358.0588,6449460.965,499.642487
535492.0381,6431101.689,493.877136
537756.3516,6431099.535,493.748108
528691.4502,6431102.016,483.423462
546825.2031,6453132.547,459.996094
526424.731,6412743.239,478.753906
540020.8555,6423764.605,492.897644
540005.5645,6420044.168,486.242676
542316.709,6423788.706,475.258179
544603.584,6416343.761,477.294159
544558.4844,6412743.239,461.758575
546825.2031,6416414.995,456.342194
544648.1855,6420127.848,482.499725
546825.2031,6423758.505,471.067413
544662.3691,6423850.089,483.026184
542267.8086,6416270.878,477.368195
539968.4688,6416245.687,479.633057
540025.0469,6412743.239,477.071686
546825.2031,6438445.525,465.171906
544659.1348,6438527.111,466.056396
540016.5391,6431094.227,467.612
540017.9688,6427426.377,483.914795
544660.1367,6427515.455,480.430786
546825.2031,6431102.016,490.576996
533174.9971,6416253.279,494.673706
530958.1699,6412743.239,482.081848
535442.1729,6416253.094,496.096222
535491.6074,6412743.239,496.530396
537705.4023,6416248.952,495.250153
542314.6387,6438464.115,458.266052
540017.8281,6438439.744,458
540017.3594,6434767.563,463.664764
530958.1699,6438445.525,451.51001
530958.1699,6434773.77,462.854828
524158.0117,6438445.525,482.585999
521891.2927,6438445.525,495.48999
521891.2927,6434773.77,495.602478
533224.8887,6438445.525,451.51001
533224.8887,6453132.547,451.51001
535491.4326,6456803.508,468.724121
542351.293,6467989.41,480.791748
544558.4844,6471491.324,488.223938
540074.502,6467984.313,476.524139
540025.0469,6471491.324,450.432678
537801.6426,6467960.059,482.574738
540032.8711,6464183.254,473.114624
537753.4902,6460464.492,468.720703
530958.1699,6471491.324,424.782166
528691.4502,6467819.57,423.470001
521891.2927,6464147.813,425.596832
519624.5737,6460476.059,429.315033
521891.2927,6460476.059,430.837738
530958.1699,6449460.793,472.168884
528691.4502,6445789.039,472.621582
512779.8428,6467891.91,433.23642
512824.4165,6471491.324,417.986938
510557.6973,6467819.57,414.2276
512734.4761,6464107.637,432.37384
510557.6973,6460476.059,429.778442
512722.2163,6460390.031,441.474609
515098.1411,6467912.266,454.48819
517357.8547,6467819.57,458.207733
517357.8547,6471491.324,445.074982
526424.731,6449460.793,467.889404
526424.731,6453132.547,469.107208
512723.5444,6449379.113,473.145538
510557.6973,6445789.039,470.167511
512723.6538,6445707.441,475.498047
512722.959,6453050.594,463.517273
512723.2437,6456720.977,441.938873
510557.6973,6453132.547,462.997986
524158.0117,6467819.57,439.880249
526424.731,6467819.57,445.284271
526424.731,6471491.324,426.79715
521891.2927,6467819.57,433.939178
521891.2927,6471491.324,439.638428
519624.5737,6467819.57,446.110413
517357.8547,6460476.059,426.064697
517357.8547,6464147.813,445.645325
515064.3701,6460451.582,430.549408
512720.5386,6419991.904,525.385254
510557.6973,6416414.994,559.557739
515069.3491,6423745.604,522.227783
512724.4717,6423679.734,515.604004
510557.6973,6423758.504,510.724701
512724.5107,6442036.369,520.402588
517358.8833,6442118.113,519.583374
519624.5737,6445789.039,517.23999
519624.5737,6453132.547,482.951843
526424.731,6442117.281,488.932068
521891.2927,6442117.281,508.230011
510557.6973,6438445.525,539.451904
510557.6973,6431102.016,541.679382
526424.731,6445789.039,458.824341
524158.0117,6445789.039,488.137482
521891.2927,6445789.039,475.814941
526424.731,6464147.813,436.952148
524158.0117,6460476.059,465.747009
521891.2927,6456804.305,443.105499
524158.0117,6453132.547,475.611084
521891.2927,6453132.547,473.050995
521891.2927,6449460.793,479.452942
536625.4668,6438445.947,475.914154
537756.7227,6440280.107,456.726196
536625.4395,6440281.789,453.207642
527558.0908,6458640.18,444.561157
527558.0908,6456804.305,444.460022
528691.4502,6458640.18,451.986816
529828.4287,6469667.164,434.07251
529824.8105,6471491.324,433.175568
528695.0684,6469667.168,445.665588
541156.7578,6453131.582,453.006042
542313.3809,6454986.121,462.166077
541156.6211,6454967.168,458.797119
513894.9546,6436558.793,516.942017
513894.894,6434722.867,541.80658
515067.6016,6436590.617,527.303833
527558.0908,6423758.504,504.62915
528691.4502,6425594.382,469.589294
527558.0908,6425594.382,466.491974
525279.5239,6418212.487,518.808777
525291.3711,6420086.749,523.809692
524148.2939,6418219.39,498.094543
517357.8152,6454968.402,438.835632
518491.2142,6454968.426,450.255066
518491.2142,6456804.305,457.188202
516224.188,6431101.508,569.226318
515070.4199,6429249.213,559.945984
516224.7283,6429266.42,538.822937
535492.2568,6462313.922,474.330841
536626.4043,6462316.836,473.508881
536634.127,6464177.445,477.055908
534361.9111,6469667.32,442.364075
534358.248,6471491.324,435.328857
533228.4736,6469667.063,434.386139
530958.1699,6458640.18,462.643555
529824.8105,6458640.18,471.48465
529824.8105,6456804.305,463.386353
540054.5879,6466086.629,476.65155
538922.1895,6466086.801,488.38208
538901.2324,6464185.746,475.912201
538886.1797,6454964.141,452
538885.1309,6456796.563,454.915955
537756.6914,6454967.148,452.001282
526424.731,6458640.18,442.71051
525291.3711,6458640.18,440.967163
525291.3711,6456804.305,445.190369
541191.1406,6466088.047,476.843597
541171.7285,6464187.441,475.825043
542340.0273,6466097.441,501.973511
530926.7129,6418149.089,486.093109
532059.9727,6418148.905,496.453308
532080.127,6420050.062,492.779755
529824.8105,6454968.426,473.458435
528691.4502,6454968.426,465.401642
521890.0579,6421918.691,510.970062
520755.9346,6421915.806,513.559448
520745.9803,6420048.004,529.827698
526424.731,6436609.648,466.509949
525291.3711,6436609.648,483.080322
525291.3711,6434773.77,477.81842
518491.2142,6438445.525,500.178314
519624.5737,6440281.402,491.651428
518491.2142,6440281.402,523.133179
535499.0498,6469679.531,448.131104
536646.6172,6469725.453,463.75592
536624.9668,6471491.324,462.447205
538890.1855,6423766.688,487.161163
537757.502,6421923.604,477.05954
538886.8633,6421920.381,476.891205
527558.0908,6460476.059,442.526154
536581.2285,6414437.994,482.051086
536574.4238,6416251.011,513.480408
535448.5537,6414438.659,493.523773
530958.1699,6465983.691,471.793182
529824.8105,6465983.691,451.815186
529824.8105,6464147.813,467.730591
540017.0625,6443946.688,471.516235
538886.1367,6443948.652,460.696136
538886.1973,6442112.828,456.761322
534315.2383,6414438.99,489.505951
534358.248,6412743.239,490.967957
516221.6975,6445786.77,507.936707
515068.5391,6443934.863,508.578094
516222.1406,6443951.254,517.862
