Echantillon,HOLEID,HOLEID_LATITUDE,HOLEID_LONGITUDE,HOLEID_ELEVATION,HOLEID_X_NAD,HOLEID_Y_NAD,HOLEID_Z_NAD,SAMPLE_DEPTH_FROM,SAMPLE_DEPTH_TO,SAMPLING_POINT-NAME,SAMPLE_NAME,X_NAD,Y_NAD,Z_NAD,LITHOLOGY_ORANO,FORMATION_ORANO,SAMPLING_POINT-LATITUDE,SAMPLING_POINT-LONGITUDE,SAMPLING_POINT-ELEVATION
"WC-449_522,6",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,522.6,522.7,WC449--522-6,WC-449--522-6,530522.4511,6437265.676,-65.82902074,Bxfault,,58.07580326,-104.4825433,-65.82902074
"WC-449_535,7",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,535.7,535.8,WC449--535-7,WC-449--535-7,530523.0178,6437267.153,-78.8328701,Bxfault,,58.07581649,-104.4825335,-78.8328701
"WC-449_556,3",WC____449___,58.07516164,-104.4827715,451.468,530509.535,6437194.14,451.468,556.3,556.4,WC449--556-3,WC-449--556-3,530523.7985,6437269.614,-99.27043295,GnPel,,58.07583854,-104.4825199,-99.27043295
"WC-450_464,6",WC____450___,58.07575314,-104.482837,450.919,530505.169,6437259.963,450.919,464.6,464.7,WC450--464-6,WC-450--464-6,530531.7029,6437345.607,-4.629337796,GnPel,,58.07652053,-104.482376,-4.629337796
"WC-450_488,8",WC____450___,58.07575314,-104.482837,450.919,530505.169,6437259.963,450.919,488.8,488.9,WC450--488-8,WC-450--488-8,530533.8794,6437349.633,-28.39273864,GnPel,,58.07655654,-104.4823386,-28.39273864
"WC-457_368,9",WC____457___,58.07022289,-104.4363258,449.482,533253.686,6436666.232,449.482,368.9,369,WC457--368-9,WC-457--368-9,533257.4083,6436777.282,97.9824061,GnPel,,58.07122001,-104.436247,97.9824061
"WC-458_503,1",WC____458___,57.99462787,-104.5613922,473.85,525930.37,6428195.3,473.85,503.1,503.2,WC458--503-1,WC-458--503-1,525884.4392,6428376.497,7.235158046,GnGra,,57.99625802,-104.5621493,7.235158046
"WC-459_428,3",WC____459___,58.07296629,-104.500329,452.6,529475.731,6436941.925,452.6,428.3,428.4,WC459--428-3,WC-459--428-3,529486.6009,6437081.554,48.31707776,GnGraPel,,58.07421966,-104.5001272,48.31707776
"WC-460_377,5",WC____460___,57.99878072,-104.5452418,462.943,526882.025,6428663.956,462.943,377.5,377.6,WC460--377-5,WC-460--377-5,526819.1083,6428748.615,100.5796732,GnPel,,57.99954491,-104.5462966,100.5796732
"WC-460_501,5",WC____460___,57.99878072,-104.5452418,462.943,526882.025,6428663.956,462.943,501.5,501.6,WC460--501-5,WC-460--501-5,526802.2803,6428775.029,-19.39077968,GnPsaPel,,57.99978317,-104.5465782,-19.39077968
"WC-472_411,1",WC____472___,58.07136341,-104.4163541,449.52,534430.76,6436803.22,449.52,411.1,411.2,WC472--411-1,WC-472--411-1,534409.4336,6436874.802,45.5876348,GnGraPel,,58.07200798,-104.4167052,45.5876348
"WC-473_433,5",WC____473___,58.09658306,-104.450388,453.54,532400.23,6439594.13,453.54,433.5,433.6,WC473--433-5,WC-473--433-5,532340.6843,6439710.345,40.39574698,GnPel,,58.09763119,-104.451382,40.39574698
"WC-473_433,5",WC____473___,58.09658306,-104.450388,453.54,532400.23,6439594.13,453.54,433.5,433.6,WC473--433-5,WC-473--433-5,532340.6843,6439710.345,40.39574698,GnPel,,58.09763119,-104.451382,40.39574698
"WC-473_471,6",WC____473___,58.09658306,-104.450388,453.54,532400.23,6439594.13,453.54,471.6,471.7,WC473--471-6,WC-473--471-6,532337.2382,6439720.21,3.756758126,GnPel,,58.09772005,-104.4514391,3.756758126
"WC-473_473,7",WC____473___,58.09658306,-104.450388,453.54,532400.23,6439594.13,453.54,473.7,473.8,WC473--473-7,WC-473--473-7,532337.053,6439720.751,1.73610034,GnPel,,58.09772492,-104.4514422,1.73610034
"WC-476_423,5",WC____476___,58.06801152,-104.4297577,454.05,533643.23,6436423.29,454.05,423.5,423.6,WC476--423-5,WC-476--423-5,533622.5499,6436562.24,54.752886,GnPsaPel,,58.06926107,-104.4300884,54.752886
"WC-530_488,4",WC____530___,58.0700979,-104.5664829,476.566,525575.492,6436595.607,476.566,488.4,488.5,WC530--488-4,WC-530--488-4,533622.1525,6436582.936,-6.757283808,PegmT,,58.06944698,-104.4300921,-6.757283808
"WC-530_488,6",WC____530___,58.0700979,-104.5664829,476.566,525575.492,6436595.607,476.566,488.6,488.7,WC530--488-6,WC-530--488-6,533622.1513,6436583,-6.94683749,PegmT,,58.06944756,-104.4300922,-6.94683749
